location,year,month,tmean,tmin,tmax,precip_mm,precip_mmday,rh2m,ws2m,ws10m,sw_insol,soilmoist,ps
Kapoeta lowlands 4.767N 33.600E,2015,12,25.89,16.45,35.0,49.0,1.58,66.09,1.7,2.55,19.5,0.52,94.68
Kapoeta lowlands 4.767N 33.600E,2016,1,28.51,17.98,37.37,4.0,0.13,46.38,1.93,2.86,20.98,0.46,94.57
Kapoeta lowlands 4.767N 33.600E,2016,2,31.01,20.68,40.62,2.3,0.08,31.61,3.44,4.91,23.86,0.43,94.42
Kapoeta lowlands 4.767N 33.600E,2016,3,31.13,23.74,41.42,53.0,1.71,47.1,3.84,5.3,21.61,0.42,94.39
Kapoeta lowlands 4.767N 33.600E,2016,4,27.29,22.01,37.89,143.4,4.78,69.96,2.8,3.99,17.77,0.49,94.46
Kapoeta lowlands 4.767N 33.600E,2016,5,27.1,20.83,36.17,75.3,2.43,67.47,2.11,3.1,20.63,0.49,94.68
Kapoeta lowlands 4.767N 33.600E,2016,6,26.98,19.89,37.0,80.1,2.67,61.41,2.21,3.26,19.34,0.46,94.77
Kapoeta lowlands 4.767N 33.600E,2016,7,25.96,20.13,35.55,59.8,1.93,67.21,1.69,2.54,18.68,0.47,94.74
Kapoeta lowlands 4.767N 33.600E,2016,8,26.68,19.72,36.49,97.3,3.14,60.85,2.4,3.59,21.63,0.47,94.71
Kapoeta lowlands 4.767N 33.600E,2016,9,28.6,21.51,37.87,55.8,1.86,51.52,2.41,3.54,21.97,0.44,94.61
Kapoeta lowlands 4.767N 33.600E,2016,10,27.87,20.46,37.72,58.9,1.9,58.69,2.25,3.34,21.17,0.45,94.5
Kapoeta lowlands 4.767N 33.600E,2016,11,28.48,21.22,38.25,16.5,0.55,51.27,2.91,4.27,20.1,0.42,94.51
Kapoeta lowlands 4.767N 33.600E,2016,12,30.39,20.64,39.4,0.6,0.02,35.27,3.65,5.26,22.02,0.41,94.44
Kapoeta lowlands 4.767N 33.600E,2017,1,29.86,19.3,39.79,34.7,1.12,25.44,3.71,5.35,23.6,0.41,94.42
Kapoeta lowlands 4.767N 33.600E,2017,2,29.72,21.87,39.33,36.4,1.3,45.94,2.92,4.1,20.87,0.43,94.4
Kapoeta lowlands 4.767N 33.600E,2017,3,30.11,22.33,41.3,75.3,2.43,47.29,2.77,3.93,22.48,0.44,94.33
Kapoeta lowlands 4.767N 33.600E,2017,4,29.1,21.65,39.6,72.0,2.4,55.46,3.35,4.73,20.76,0.45,94.41
Kapoeta lowlands 4.767N 33.600E,2017,5,28.51,21.91,37.64,55.2,1.78,59.49,2.65,3.81,20.76,0.45,94.57
Kapoeta lowlands 4.767N 33.600E,2017,6,29.36,21.52,37.5,19.8,0.66,50.33,2.48,3.61,20.18,0.43,94.58
Kapoeta lowlands 4.767N 33.600E,2017,7,26.45,20.35,35.12,96.4,3.11,67.56,1.66,2.42,16.32,0.44,94.75
Kapoeta lowlands 4.767N 33.600E,2017,8,27.37,20.97,36.96,58.3,1.88,62.35,1.96,2.85,19.95,0.44,94.62
Kapoeta lowlands 4.767N 33.600E,2017,9,27.78,20.06,37.64,57.3,1.91,61.27,1.89,2.71,19.63,0.44,94.62
Kapoeta lowlands 4.767N 33.600E,2017,10,27.18,21.08,39.02,203.0,6.55,67.32,2.14,3.19,19.91,0.49,94.49
Kapoeta lowlands 4.767N 33.600E,2017,11,26.55,19.43,35.74,39.6,1.32,63.62,2.41,3.61,20.2,0.47,94.5
Kapoeta lowlands 4.767N 33.600E,2017,12,28.78,18.38,38.56,0.3,0.01,36.39,3.12,4.68,23.51,0.43,94.45
Kapoeta lowlands 4.767N 33.600E,2018,1,29.5,18.45,38.97,0.0,0.0,29.01,2.24,3.25,23.23,0.41,94.41
Kapoeta lowlands 4.767N 33.600E,2018,2,30.38,22.25,40.13,32.5,1.16,39.39,4.22,5.85,21.99,0.42,94.29
Kapoeta lowlands 4.767N 33.600E,2018,3,28.96,22.38,38.51,46.5,1.5,52.33,3.26,4.54,18.41,0.44,94.38
Kapoeta lowlands 4.767N 33.600E,2018,4,26.18,20.28,36.53,237.6,7.92,71.94,2.62,3.77,17.0,0.5,94.49
Kapoeta lowlands 4.767N 33.600E,2018,5,25.97,21.1,33.42,157.5,5.08,74.93,2.31,3.41,19.41,0.53,94.57
Kapoeta lowlands 4.767N 33.600E,2018,6,25.75,20.26,32.85,51.0,1.7,71.05,1.84,2.76,18.56,0.5,94.73
Kapoeta lowlands 4.767N 33.600E,2018,7,27.07,20.85,36.09,22.0,0.71,57.29,2.39,3.52,19.96,0.46,94.75
Kapoeta lowlands 4.767N 33.600E,2018,8,27.55,20.64,36.65,40.3,1.3,55.73,2.25,3.3,19.44,0.44,94.7
Kapoeta lowlands 4.767N 33.600E,2018,9,29.37,21.34,38.7,93.0,3.1,44.98,3.07,4.56,23.3,0.43,94.47
Kapoeta lowlands 4.767N 33.600E,2018,10,27.29,20.12,36.69,72.2,2.33,60.92,2.66,3.98,20.73,0.46,94.52
Kapoeta lowlands 4.767N 33.600E,2018,11,28.29,21.44,38.28,24.0,0.8,56.26,2.87,4.19,20.75,0.44,94.46
Kapoeta lowlands 4.767N 33.600E,2018,12,28.04,20.74,37.91,49.9,1.61,52.97,2.71,4.01,19.42,0.44,94.52
Kapoeta lowlands 4.767N 33.600E,2019,1,30.75,20.66,40.48,0.3,0.01,31.61,3.6,5.19,23.24,0.42,94.43
Kapoeta lowlands 4.767N 33.600E,2019,2,31.69,22.81,40.81,19.0,0.68,36.09,3.75,5.2,23.22,0.41,94.37
Kapoeta lowlands 4.767N 33.600E,2019,3,32.18,23.11,41.37,16.1,0.52,35.98,3.51,4.86,22.78,0.41,94.36
Kapoeta lowlands 4.767N 33.600E,2019,4,29.76,22.92,40.97,70.2,2.34,54.42,3.31,4.62,20.0,0.43,94.4
Kapoeta lowlands 4.767N 33.600E,2019,5,28.62,21.88,38.38,58.3,1.88,59.54,2.89,4.16,20.77,0.44,94.47
Kapoeta lowlands 4.767N 33.600E,2019,6,26.94,21.13,35.38,136.8,4.56,67.65,1.59,2.33,15.95,0.46,94.71
Kapoeta lowlands 4.767N 33.600E,2019,7,26.33,20.43,35.63,208.0,6.71,68.65,1.81,2.7,18.09,0.49,94.69
Kapoeta lowlands 4.767N 33.600E,2019,8,26.56,20.51,35.29,55.8,1.8,67.13,1.7,2.52,19.48,0.48,94.75
Kapoeta lowlands 4.767N 33.600E,2019,9,27.88,20.38,37.86,56.7,1.89,60.57,1.91,2.82,20.74,0.45,94.6
Kapoeta lowlands 4.767N 33.600E,2019,10,25.14,19.75,33.88,212.3,6.85,78.66,1.98,3.02,18.33,0.53,94.5
Kapoeta lowlands 4.767N 33.600E,2019,11,25.86,20.24,34.95,54.0,1.8,74.06,1.84,2.75,19.34,0.49,94.5
Kapoeta lowlands 4.767N 33.600E,2019,12,26.6,19.99,35.86,58.9,1.9,67.18,1.73,2.58,19.22,0.48,94.51
Kapoeta lowlands 4.767N 33.600E,2020,1,27.66,17.64,37.78,32.9,1.06,52.31,2.18,3.15,20.39,0.44,94.58
Kapoeta lowlands 4.767N 33.600E,2020,2,30.22,21.15,39.7,11.6,0.4,45.78,2.7,3.81,21.82,0.44,94.48
Kapoeta lowlands 4.767N 33.600E,2020,3,27.62,20.37,39.54,182.0,5.87,63.26,2.75,3.89,18.98,0.47,94.44
Kapoeta lowlands 4.767N 33.600E,2020,4,27.19,21.41,36.19,78.0,2.6,68.72,3.07,4.36,18.26,0.49,94.51
Kapoeta lowlands 4.767N 33.600E,2020,5,27.16,21.32,35.66,65.1,2.1,69.03,2.53,3.67,20.94,0.49,94.66
Kapoeta lowlands 4.767N 33.600E,2020,6,26.19,20.39,34.86,119.4,3.98,70.74,1.67,2.53,18.26,0.49,94.68
Kapoeta lowlands 4.767N 33.600E,2020,7,25.53,20.02,34.21,87.4,2.82,70.42,1.55,2.33,16.18,0.47,94.63
Kapoeta lowlands 4.767N 33.600E,2020,8,25.75,18.49,35.16,86.8,2.8,70.77,1.67,2.52,18.54,0.48,94.64
Kapoeta lowlands 4.767N 33.600E,2020,9,27.04,19.86,37.0,101.7,3.39,65.7,1.72,2.54,20.15,0.47,94.56
Kapoeta lowlands 4.767N 33.600E,2020,10,26.28,20.43,34.92,100.8,3.25,71.07,1.71,2.57,19.16,0.48,94.54
Kapoeta lowlands 4.767N 33.600E,2020,11,26.76,20.07,36.72,113.4,3.78,68.91,1.89,2.83,19.88,0.48,94.52
Kapoeta lowlands 4.767N 33.600E,2020,12,26.99,18.43,36.89,607.3,19.59,58.45,1.83,2.75,21.64,0.49,94.51
Kapoeta lowlands 4.767N 33.600E,2021,1,26.67,19.71,36.15,96.4,3.11,58.37,2.53,3.82,21.68,0.51,94.46
Kapoeta lowlands 4.767N 33.600E,2021,2,28.68,18.73,38.94,0.8,0.03,45.46,2.59,3.68,21.97,0.45,94.43
Kapoeta lowlands 4.767N 33.600E,2021,3,30.79,21.95,40.13,5.9,0.19,40.91,3.52,4.9,22.41,0.42,94.26
Kapoeta lowlands 4.767N 33.600E,2021,4,27.58,21.79,38.43,102.6,3.42,64.01,3.18,4.52,18.98,0.46,94.42
Kapoeta lowlands 4.767N 33.600E,2021,5,27.26,20.88,36.63,81.2,2.62,65.98,2.46,3.56,19.2,0.47,94.56
Kapoeta lowlands 4.767N 33.600E,2021,6,27.99,21.52,36.95,15.0,0.5,53.03,3.01,4.36,20.38,0.43,94.63
Kapoeta lowlands 4.767N 33.600E,2021,7,25.67,19.77,36.94,125.5,4.05,68.56,1.7,2.53,15.93,0.47,94.76
Kapoeta lowlands 4.767N 33.600E,2021,8,27.87,20.92,38.76,40.3,1.3,55.36,2.21,3.27,20.73,0.45,94.63
Kapoeta lowlands 4.767N 33.600E,2021,9,27.9,20.73,36.98,101.1,3.37,60.06,2.07,3.06,19.59,0.46,94.55
Kapoeta lowlands 4.767N 33.600E,2021,10,28.83,21.56,38.38,54.9,1.77,57.93,2.26,3.29,20.53,0.44,94.47
Kapoeta lowlands 4.767N 33.600E,2021,11,28.12,21.34,38.74,105.6,3.52,60.09,2.14,3.13,19.76,0.46,94.44
Kapoeta lowlands 4.767N 33.600E,2021,12,28.01,19.54,36.48,65.4,2.11,53.77,3.45,5.0,20.55,0.45,94.47
Kapoeta lowlands 4.767N 33.600E,2022,1,28.57,20.16,38.0,24.2,0.78,44.24,2.71,3.93,20.61,0.43,94.47
Kapoeta lowlands 4.767N 33.600E,2022,2,30.09,20.23,39.2,5.6,0.2,36.75,2.15,3.03,22.34,0.41,94.38
Kapoeta lowlands 4.767N 33.600E,2022,3,30.99,22.84,40.67,28.8,0.93,40.8,3.53,4.89,21.98,0.42,94.24
Kapoeta lowlands 4.767N 33.600E,2022,4,29.85,21.97,40.57,63.3,2.11,51.65,3.3,4.62,18.38,0.43,94.3
Kapoeta lowlands 4.767N 33.600E,2022,5,28.93,22.1,38.05,61.1,1.97,57.01,2.8,3.99,19.7,0.44,94.54
Kapoeta lowlands 4.767N 33.600E,2022,6,27.88,21.04,37.91,59.7,1.99,53.7,2.7,3.98,19.4,0.44,94.56
Kapoeta lowlands 4.767N 33.600E,2022,7,26.88,19.8,36.13,86.2,2.78,58.84,2.23,3.29,17.78,0.45,94.65
Kapoeta lowlands 4.767N 33.600E,2022,8,26.53,19.11,35.49,80.3,2.59,64.54,1.94,2.84,18.76,0.45,94.6
Kapoeta lowlands 4.767N 33.600E,2022,9,28.1,20.92,37.28,64.5,2.15,55.94,2.35,3.46,20.88,0.44,94.55
Kapoeta lowlands 4.767N 33.600E,2022,10,27.98,20.24,38.68,81.2,2.62,59.17,2.26,3.32,20.98,0.44,94.53
Kapoeta lowlands 4.767N 33.600E,2022,11,27.01,20.01,36.58,48.3,1.61,62.62,2.3,3.38,18.96,0.45,94.49
Kapoeta lowlands 4.767N 33.600E,2022,12,28.19,20.49,37.4,36.0,1.16,51.39,2.26,3.32,19.08,0.44,94.45
Kapoeta lowlands 4.767N 33.600E,2023,1,30.06,20.63,39.14,0.6,0.02,33.63,2.69,3.89,21.87,0.41,94.44
Kapoeta lowlands 4.767N 33.600E,2023,2,31.6,22.14,40.8,0.8,0.03,27.45,3.4,4.77,23.44,0.41,94.35
Kapoeta lowlands 4.767N 33.600E,2023,3,29.03,21.5,40.83,98.9,3.19,53.28,3.15,4.38,17.11,0.44,94.37
Kapoeta lowlands 4.767N 33.600E,2023,4,27.72,21.87,38.02,90.6,3.02,63.96,3.42,4.83,19.61,0.46,94.36
Kapoeta lowlands 4.767N 33.600E,2023,5,28.1,20.79,37.65,71.9,2.32,61.04,3.43,4.93,21.89,0.47,94.57
Kapoeta lowlands 4.767N 33.600E,2023,6,28.1,21.34,37.48,87.3,2.91,59.1,2.5,3.66,19.03,0.45,94.64
Kapoeta lowlands 4.767N 33.600E,2023,7,28.28,21.55,36.58,59.8,1.93,55.69,2.34,3.42,19.1,0.44,94.77
Kapoeta lowlands 4.767N 33.600E,2023,8,28.55,20.35,38.58,64.8,2.09,50.18,3.06,4.53,21.83,0.45,94.64
Kapoeta lowlands 4.767N 33.600E,2023,9,28.91,22.17,38.74,94.5,3.15,57.35,2.05,3.03,19.47,0.45,94.54
Kapoeta lowlands 4.767N 33.600E,2023,10,27.44,21.07,38.6,197.5,6.37,67.21,2.45,3.65,20.3,0.49,94.53
Kapoeta lowlands 4.767N 33.600E,2023,11,26.04,21.08,33.99,110.7,3.69,75.06,2.79,4.14,18.51,0.51,94.54
Kapoeta lowlands 4.767N 33.600E,2023,12,28.19,19.27,37.2,9.9,0.32,57.94,2.48,3.64,19.82,0.46,94.53
Kapoeta lowlands 4.767N 33.600E,2024,1,29.58,20.06,38.6,3.7,0.12,45.62,1.74,2.54,20.54,0.43,94.58
Kapoeta lowlands 4.767N 33.600E,2024,2,29.62,22.26,39.5,71.3,2.46,52.16,2.78,3.88,20.01,0.45,94.53
Kapoeta lowlands 4.767N 33.600E,2024,3,31.01,24.27,40.46,12.1,0.39,47.46,4.29,5.89,21.21,0.42,94.42
Kapoeta lowlands 4.767N 33.600E,2024,4,27.2,22.0,38.14,217.5,7.25,71.36,2.9,4.16,18.68,0.5,94.43
Kapoeta lowlands 4.767N 33.600E,2024,5,28.26,22.19,37.08,70.4,2.27,64.85,3.05,4.39,19.05,0.48,94.52
Kapoeta lowlands 4.767N 33.600E,2024,6,28.62,21.96,37.39,36.6,1.22,55.3,2.43,3.57,19.2,0.45,94.64
Kapoeta lowlands 4.767N 33.600E,2024,7,27.0,21.11,37.5,198.4,6.4,67.36,1.66,2.46,16.34,0.47,94.71
Kapoeta lowlands 4.767N 33.600E,2024,8,26.07,20.57,34.96,203.4,6.56,72.56,1.65,2.51,18.44,0.53,94.7
Kapoeta lowlands 4.767N 33.600E,2024,9,28.17,21.39,37.15,40.2,1.34,60.2,1.96,2.91,21.42,0.47,94.58
Kapoeta lowlands 4.767N 33.600E,2024,10,27.83,21.55,37.42,87.7,2.83,65.93,1.81,2.66,19.68,0.47,94.54
Kapoeta lowlands 4.767N 33.600E,2024,11,27.21,20.23,37.19,75.0,2.5,65.99,1.96,2.87,18.62,0.46,94.51
Kapoeta lowlands 4.767N 33.600E,2024,12,28.95,20.04,37.81,51.1,1.65,46.37,2.23,3.35,21.5,0.44,94.51
Kapoeta lowlands 4.767N 33.600E,2025,1,29.91,19.61,39.01,2.8,0.09,34.78,2.48,3.65,21.93,0.42,94.42
Kapoeta lowlands 4.767N 33.600E,2025,2,32.24,23.62,40.83,4.2,0.15,28.7,3.82,5.36,24.24,0.41,94.28
Kapoeta lowlands 4.767N 33.600E,2025,3,29.5,21.05,41.43,128.0,4.13,54.06,3.41,4.74,18.92,0.45,94.36
Kapoeta lowlands 4.767N 33.600E,2025,4,27.95,21.99,38.31,111.3,3.71,65.22,3.23,4.58,20.35,0.47,94.42
Kapoeta lowlands 4.767N 33.600E,2025,5,27.21,21.92,36.85,85.6,2.76,68.36,2.5,3.69,20.23,0.49,94.6
Kapoeta lowlands 4.767N 33.600E,2025,6,28.52,21.61,37.31,24.6,0.82,53.82,2.45,3.62,18.93,0.44,94.68
Kapoeta lowlands 4.767N 33.600E,2025,7,27.68,20.89,36.73,58.6,1.89,60.07,1.87,2.74,16.95,0.45,94.75
Kapoeta lowlands 4.767N 33.600E,2025,8,26.07,20.07,36.26,146.9,4.74,68.65,1.67,2.48,16.41,0.48,94.72
Kapoeta lowlands 4.767N 33.600E,2025,9,28.35,20.41,37.54,70.8,2.36,58.52,1.9,2.8,20.15,0.45,94.61
Kapoeta lowlands 4.767N 33.600E,2025,10,27.46,20.91,36.41,155.3,5.01,64.49,1.81,2.73,18.42,0.48,94.55
Kapoeta lowlands 4.767N 33.600E,2025,11,27.81,19.66,37.39,86.4,2.88,59.28,2.45,3.68,21.13,0.48,94.55
Kapoeta lowlands 4.767N 33.600E,2025,12,28.34,20.67,38.22,44.3,1.43,53.78,2.53,3.71,18.67,0.45,94.44
